system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,ntl_mean,source,unit,year,.geo
2_00000000000000000001,BA03050040,,,,,,,36.73,36,265.786729243,TASWIL5000020230907KABKOTA,Kota Serang,,0.021713352295,0.90641432716,4326,5,,,Kota Serang,Banten,,0,Serang,,2016,3.030385257454767,3.030385257454767,VIIRS DNB,nW/cm2/sr,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,BA03050040,,,,,,,36.71,36,178.347486782,TASWIL5000020230907KABKOTA,Kota Tangerang,,0.0145716617669,0.866128614854,4326,5,,,Kota Tangerang,Banten,,0,Tangerang,,2016,15.676896123890982,15.676896123890982,VIIRS DNB,nW/cm2/sr,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,BA03050040,,,,,,,36.74,36,164.859542538,TASWIL5000020230907KABKOTA,Kota Tangerang Selatan,,0.0134725944006,0.664710625654,4326,5,,,Kota Tangerang Selatan,Banten,,0,Tangerang,,2016,13.140567327278406,13.140567327278406,VIIRS DNB,nW/cm2/sr,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,BA03050040,,,,,,,36.02,36,3312.17997874,TASWIL5000020230907KABKOTA,Lebak,,0.270855305015,3.52397909077,4326,4,,,Lebak,Banten,,0,,,2016,0.2738067560554177,0.2738067560554177,VIIRS DNB,nW/cm2/sr,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,BA03050040,,,,,,,36.01,36,2771.41416976,TASWIL5000020230907KABKOTA,Pandeglang,,0.226610877125,6.20293474141,4326,4,,,Pandeglang,Banten,,0,,,2016,0.23542257808581163,0.23542257808581163,VIIRS DNB,nW/cm2/sr,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,BA03050040,,,,,,,36.04,36,1469.90820771,TASWIL5000020230907KABKOTA,Serang,,0.120087806306,4.82214164059,4326,4,,,Serang,Banten,,0,,,2016,1.4451730176810618,1.4451730176810618,VIIRS DNB,nW/cm2/sr,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000007,BA03050040,,,,,,,36.03,36,1027.75694912,TASWIL5000020230907KABKOTA,Tangerang,,0.0839701872129,2.42411627082,4326,4,,,Tangerang,Banten,,0,,,2016,4.933546127134852,4.933546127134852,VIIRS DNB,nW/cm2/sr,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,BA03050040,,,,,,,36.72,36,162.514426466,TASWIL5000020230907KABKOTA,Kota Cilegon,,0.0132735776219,1.08870088909,4326,5,,,Kota Cilegon,Banten,,0,Serang,,2017,10.275870927260259,10.275870927260259,VIIRS DNB,nW/cm2/sr,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,BA03050040,,,,,,,36.73,36,265.786729243,TASWIL5000020230907KABKOTA,Kota Serang,,0.021713352295,0.90641432716,4326,5,,,Kota Serang,Banten,,0,Serang,,2017,2.870079499614023,2.870079499614023,VIIRS DNB,nW/cm2/sr,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,BA03050040,,,,,,,36.71,36,178.347486782,TASWIL5000020230907KABKOTA,Kota Tangerang,,0.0145716617669,0.866128614854,4326,5,,,Kota Tangerang,Banten,,0,Tangerang,,2017,16.035879304633813,16.035879304633813,VIIRS DNB,nW/cm2/sr,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,BA03050040,,,,,,,36.74,36,164.859542538,TASWIL5000020230907KABKOTA,Kota Tangerang Selatan,,0.0134725944006,0.664710625654,4326,5,,,Kota Tangerang Selatan,Banten,,0,Tangerang,,2017,12.9786815000983,12.9786815000983,VIIRS DNB,nW/cm2/sr,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000004,BA03050040,,,,,,,36.02,36,3312.17997874,TASWIL5000020230907KABKOTA,Lebak,,0.270855305015,3.52397909077,4326,4,,,Lebak,Banten,,0,,,2017,0.40575232290271124,0.40575232290271124,VIIRS DNB,nW/cm2/sr,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000005,BA03050040,,,,,,,36.01,36,2771.41416976,TASWIL5000020230907KABKOTA,Pandeglang,,0.226610877125,6.20293474141,4326,4,,,Pandeglang,Banten,,0,,,2017,0.439730584450549,0.439730584450549,VIIRS DNB,nW/cm2/sr,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
