system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,ntl_mean,source,unit,year,.geo
1_0000000000000000001b,BA03050040,,,,,,,35.21,35,1395.80361511,TASWIL5000020230907KABKOTA,Ngawi,,0.114333252536,2.33754211648,4326,4,,,Ngawi,Jawa Timur,,0,,,2015,0.6084777397843679,0.6084777397843679,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001c,BA03050040,,,,,,,35.01,35,1433.59333625,TASWIL5000020230907KABKOTA,Pacitan,,0.117615991626,2.70815392342,4326,4,,,Pacitan,Jawa Timur,,0,,,2015,0.3052907332850407,0.3052907332850407,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001d,BA03050040,,,,,,,35.28,35,795.1536332,TASWIL5000020230907KABKOTA,Pamekasan,,0.0650801575114,1.61639831646,4326,4,,,Pamekasan,Jawa Timur,,0,,,2015,1.561032469319546,1.561032469319546,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001e,BA03050040,,,,,,,35.14,35,1493.29125873,TASWIL5000020230907KABKOTA,Pasuruan,,0.12240285046,2.11486198318,4326,4,,,Pasuruan,Jawa Timur,,0,,,2015,1.5136885848971864,1.5136885848971864,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001f,BA03050040,,,,,,,35.02,35,1418.61821053,TASWIL5000020230907KABKOTA,Ponorogo,,0.116333419454,2.24739814857,4326,4,,,Ponorogo,Jawa Timur,,0,,,2015,0.4991005511449985,0.4991005511449985,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000020,BA03050040,,,,,,,35.13,35,1724.51021963,TASWIL5000020230907KABKOTA,Probolinggo,,0.141396287708,3.30824697991,4326,4,,,Probolinggo,Jawa Timur,,0,,,2015,0.9156479802057585,0.9156479802057585,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000021,BA03050040,,,,,,,35.27,35,1228.25205645,TASWIL5000020230907KABKOTA,Sampang,,0.100524765418,2.20499342869,4326,4,,,Sampang,Jawa Timur,,0,,,2015,0.9952242997174156,0.9952242997174156,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000022,BA03050040,,,,,,,35.15,35,724.040479898,TASWIL5000020230907KABKOTA,Sidoarjo,,0.0593093438222,1.5143974467,4326,4,,,Sidoarjo,Jawa Timur,,0,,,2015,6.711595010928798,6.711595010928798,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000023,BA03050040,,,,,,,35.12,35,1653.72214925,TASWIL5000020230907KABKOTA,Situbondo,,0.13557162713,3.3072682179,4326,4,,,Situbondo,Jawa Timur,,0,,,2015,0.47257906875502553,0.47257906875502553,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000024,BA03050040,,,,,,,35.29,35,2084.02326183,TASWIL5000020230907KABKOTA,Sumenep,,0.170534946329,10.1929789413,4326,4,,,Sumenep,Jawa Timur,,0,,,2015,0.48063594772142515,0.48063594772142515,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
