system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,ntl_mean,source,unit,year,.geo
1_00000000000000000014,BA03050040,,,,,,,32.10,32,1330.17015876,TASWIL5000020230907KABKOTA,Majalengka,,0.108812997317,2.41021451831,4326,4,,,Majalengka,Jawa Barat,,0,,,2015,0.770187023716149,0.770187023716149,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000016,BA03050040,,,,,,,32.14,32,993.091657082,TASWIL5000020230907KABKOTA,Purwakarta,,0.0812028553408,1.68861222887,4326,4,,,Purwakarta,Jawa Barat,,0,,,2015,1.538462294311673,1.538462294311673,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017,BA03050040,,,,,,,32.13,32,2165.54817148,TASWIL5000020230907KABKOTA,Subang,,0.177034323964,2.76140353367,4326,4,,,Subang,Jawa Barat,,0,,,2015,1.0144803878696294,1.0144803878696294,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000018,BA03050040,,,,,,,32.02,32,4164.15179191,TASWIL5000020230907KABKOTA,Sukabumi,,0.340828569229,4.44127476405,4326,4,,,Sukabumi,Jawa Barat,,0,,,2015,0.48219931804990446,0.48219931804990446,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000019,BA03050040,,,,,,,32.11,32,1566.20437923,TASWIL5000020230907KABKOTA,Sumedang,,0.128123825812,2.19053881539,4326,4,,,Sumedang,Jawa Barat,,0,,,2015,0.7196315199273119,0.7196315199273119,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001a,BA03050040,,,,,,,32.06,32,2705.8552536,TASWIL5000020230907KABKOTA,Tasikmalaya,,0.221671812167,3.72497343181,4326,4,,,Tasikmalaya,Jawa Barat,,0,,,2015,0.46447001901500157,0.46447001901500157,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,BA03050040,,,,,,,32.17,32,1283.43884053,TASWIL5000020230907KABKOTA,Bandung Barat,,0.105006220945,2.56462783976,4326,4,,,Bandung Barat,Jawa Barat,,0,Bandung,,2015,1.1540561049046199,1.1540561049046199,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000015,BA03050040,,,,,,,32.18,32,1128.15362575,TASWIL5000020230907KABKOTA,Pangandaran,,0.0924503882599,2.42560719971,4326,4,,,Pangandaran,Jawa Barat,,0,Ciamis,,2015,0.2457936333120938,0.2457936333120938,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a,BA03050040,,,,,,,32.73,32,166.593063202,TASWIL5000020230907KABKOTA,Kota Bandung,,0.0136308149889,0.817191515115,4326,5,,,Kota Bandung,Jawa Barat,,0,,,2015,13.018961273829808,13.018961273829808,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d,BA03050040,,,,,,,32.71,32,111.365717104,TASWIL5000020230907KABKOTA,Kota Bogor,,0.00910608468453,0.708177487701,4326,5,,,Kota Bogor,Jawa Barat,,0,,,2015,10.288181434378993,10.288181434378993,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000f,BA03050040,,,,,,,32.74,32,39.4656673529,TASWIL5000020230907KABKOTA,Kota Cirebon,,0.00322795461531,0.51718570074,4326,5,,,Kota Cirebon,Jawa Barat,,0,,,2015,9.116832392844678,9.116832392844678,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000011,BA03050040,,,,,,,32.72,32,48.3139498984,TASWIL5000020230907KABKOTA,Kota Sukabumi,,0.00395326562589,0.421527483889,4326,5,,,Kota Sukabumi,Jawa Barat,,0,,,2015,4.574153862144434,4.574153862144434,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000e,BA03050040,,,,,,,32.77,32,42.4320027932,TASWIL5000020230907KABKOTA,Kota Cimahi,,0.003471594654,0.402833813325,4326,5,,,Kota Cimahi,Jawa Barat,,0,Bandung,,2015,9.744528788946786,9.744528788946786,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c,BA03050040,,,,,,,32.75,32,213.035870741,TASWIL5000020230907KABKOTA,Kota Bekasi,,0.017408953115,1.25741196597,4326,5,,,Kota Bekasi,Jawa Barat,,0,Bekasi,,2015,15.925247033276676,15.925247033276676,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
